epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,2736.24,1.22302,0.50362,0.00302,0.92773,0.89512,0.95594,0.66179,1.03543,0.37014,0.00417,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,2765.91,1.21728,0.5092,0.00309,0.93781,0.89682,0.96041,0.67005,1.02606,0.36925,0.00413,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,2796.12,1.2312,0.51188,0.00295,0.94052,0.89903,0.96002,0.6654,1.03693,0.36768,0.00417,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,2826.36,1.21646,0.50295,0.00303,0.94069,0.88886,0.96034,0.66454,1.02859,0.37252,0.00415,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,2856.5,1.21571,0.50594,0.00301,0.93816,0.89921,0.96132,0.6643,1.03672,0.36806,0.00422,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,2886.21,1.23267,0.51086,0.00295,0.94114,0.88872,0.96203,0.66237,1.04438,0.37116,0.00419,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,2915.96,1.19467,0.49352,0.00298,0.92274,0.90493,0.95893,0.66837,1.0256,0.3639,0.00414,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,2946.33,1.23832,0.50576,0.00289,0.93336,0.8962,0.95764,0.66748,1.02912,0.36537,0.00415,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,2976.12,1.18868,0.48371,0.00301,0.9398,0.90148,0.9598,0.66799,1.03555,0.36308,0.00419,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,3006.44,1.21614,0.49653,0.00301,0.93471,0.90483,0.96197,0.6715,1.02283,0.3641,0.00412,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,3036.02,1.19076,0.48369,0.00292,0.92795,0.90068,0.95823,0.67018,1.02546,0.35783,0.00413,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,3065.76,1.1898,0.49326,0.00299,0.9522,0.89516,0.96276,0.67133,1.01817,0.3547,0.00409,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,3095.63,1.19665,0.49936,0.00299,0.93689,0.91047,0.96274,0.67223,1.02841,0.35522,0.00414,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,3124.85,1.19596,0.49604,0.00297,0.9364,0.90161,0.96042,0.67238,1.0205,0.36118,0.00411,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,3154.62,1.17928,0.48193,0.00293,0.94168,0.90216,0.96244,0.66967,1.02954,0.36244,0.00413,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,3184.52,1.20047,0.49398,0.0029,0.93718,0.90656,0.96396,0.67452,1.02445,0.35531,0.00414,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,3214.47,1.2159,0.50191,0.00292,0.94018,0.90281,0.9631,0.67244,1.02232,0.35879,0.00413,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,3244.45,1.16796,0.48046,0.00295,0.93894,0.90877,0.96287,0.6711,1.02962,0.35474,0.00415,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,3274.74,1.18464,0.48971,0.00291,0.93309,0.91062,0.96231,0.67373,1.01779,0.35345,0.00409,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,3304.25,1.19749,0.48803,0.0029,0.93892,0.90871,0.96302,0.67066,1.02455,0.35373,0.00412,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,3333.81,1.1824,0.48578,0.00292,0.9347,0.91527,0.96291,0.67316,1.01625,0.35906,0.00409,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,3363.7,1.1727,0.48484,0.00295,0.93993,0.89861,0.96303,0.67209,1.02187,0.36035,0.00411,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,3394.01,1.18722,0.48847,0.00287,0.94295,0.90667,0.96536,0.6755,1.01763,0.35437,0.00408,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,3423.82,1.17786,0.48643,0.00289,0.94155,0.89701,0.96075,0.6741,1.01718,0.35486,0.0041,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,3453.87,1.17041,0.48043,0.0029,0.93246,0.90694,0.96281,0.67276,1.01881,0.35932,0.00409,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,3484.08,1.17787,0.48186,0.0029,0.95202,0.89903,0.96428,0.67167,1.01599,0.35859,0.00408,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
